Info    : Reading '../results/t15/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t15/domain.msh'
> Iterations:
i =   0 | cost = -0.0217 | cstr = 1.0014 | nder = 0.0236 | steps =  0 | lagr = -0.0217 | lm = 0.0000 | mu = 0.0000 | 
i =  40 | cost = -0.0220 | cstr = 1.0022 | nder = 0.0072 | steps = 15 | lagr = -0.0220 | lm = 0.0312 | mu = 0.0268 | 
i =  41 | cost = -0.0220 | cstr = 0.9967 | nder = 0.0072 | steps = 16 | lagr = -0.0221 | lm = 0.0224 | mu = 0.0289 | 
i =  42 | cost = -0.0223 | cstr = 1.0017 | nder = 0.0070 | steps = 15 | lagr = -0.0222 | lm = 0.0291 | mu = 0.0258 | 
i =  43 | cost = -0.0224 | cstr = 1.0040 | nder = 0.0108 | steps = 16 | lagr = -0.0223 | lm = 0.0353 | mu = 0.0274 | 
i =  44 | cost = -0.0224 | cstr = 0.9982 | nder = 0.0087 | steps = 16 | lagr = -0.0224 | lm = 0.0276 | mu = 0.0312 | 
i =  45 | cost = -0.0226 | cstr = 0.9955 | nder = 0.0125 | steps = 16 | lagr = -0.0227 | lm = 0.0204 | mu = 0.0294 | 
i =  46 | cost = -0.0231 | cstr = 1.0014 | nder = 0.0113 | steps = 16 | lagr = -0.0230 | lm = 0.0279 | mu = 0.0251 | 
i =  47 | cost = -0.0234 | cstr = 1.0043 | nder = 0.0130 | steps = 16 | lagr = -0.0233 | lm = 0.0351 | mu = 0.0264 | 
i =  48 | cost = -0.0237 | cstr = 1.0040 | nder = 0.0152 | steps = 16 | lagr = -0.0235 | lm = 0.0385 | mu = 0.0306 | 
i =  49 | cost = -0.0240 | cstr = 0.9947 | nder = 0.0186 | steps = 16 | lagr = -0.0242 | lm = 0.0238 | mu = 0.0344 | 
i =  50 | cost = -0.0249 | cstr = 1.0031 | nder = 0.0192 | steps = 16 | lagr = -0.0248 | lm = 0.0356 | mu = 0.0293 | 
i =  51 | cost = -0.0258 | cstr = 1.0042 | nder = 0.0225 | steps = 16 | lagr = -0.0256 | lm = 0.0407 | mu = 0.0323 | 
i =  52 | cost = -0.0267 | cstr = 1.0054 | nder = 0.0264 | steps = 16 | lagr = -0.0264 | lm = 0.0470 | mu = 0.0363 | 
i =  53 | cost = -0.0279 | cstr = 0.9998 | nder = 0.0319 | steps = 16 | lagr = -0.0279 | lm = 0.0410 | mu = 0.0414 | 
i =  54 | cost = -0.0300 | cstr = 1.0072 | nder = 0.0391 | steps = 16 | lagr = -0.0297 | lm = 0.0555 | mu = 0.0412 | 
i =  55 | cost = -0.0327 | cstr = 1.0060 | nder = 0.0505 | steps = 15 | lagr = -0.0324 | lm = 0.0599 | mu = 0.0480 | 
i =  56 | cost = -0.0374 | cstr = 1.0111 | nder = 0.0694 | steps = 16 | lagr = -0.0367 | lm = 0.0757 | mu = 0.0536 | 
i =  57 | cost = -0.0458 | cstr = 1.0163 | nder = 0.1070 | steps = 16 | lagr = -0.0445 | lm = 0.0965 | mu = 0.0640 | 
i =  58 | cost = -0.0661 | cstr = 1.0405 | nder = 0.1899 | steps = 16 | lagr = -0.0612 | lm = 0.1602 | mu = 0.0794 | 
i =  59 | cost = -0.1245 | cstr = 1.0726 | nder = 0.3058 | steps = 16 | lagr = -0.1107 | lm = 0.2624 | mu = 0.1173 | 
i =  60 | cost = -0.2169 | cstr = 1.1516 | nder = 0.1997 | steps = 16 | lagr = -0.1660 | lm = 0.4872 | mu = 0.1842 | 
i =  61 | cost = -0.2450 | cstr = 1.1504 | nder = 0.1451 | steps = 16 | lagr = -0.1750 | lm = 0.6155 | mu = 0.3149 | 
i =  62 | cost = -0.2086 | cstr = 1.0646 | nder = 0.0930 | steps = 16 | lagr = -0.1757 | lm = 0.5737 | mu = 0.4446 | 
i =  63 | cost = -0.1796 | cstr = 0.9997 | nder = 0.0727 | steps = 16 | lagr = -0.1797 | lm = 0.5036 | mu = 0.5043 | 
i =  64 | cost = -0.1711 | cstr = 0.9702 | nder = 0.0870 | steps = 15 | lagr = -0.1852 | lm = 0.4445 | mu = 0.5039 | 
i =  65 | cost = -0.1768 | cstr = 0.9681 | nder = 0.1029 | steps = 16 | lagr = -0.1910 | lm = 0.4123 | mu = 0.4761 | 
i =  66 | cost = -0.1866 | cstr = 0.9669 | nder = 0.1116 | steps = 16 | lagr = -0.2003 | lm = 0.3801 | mu = 0.4464 | 
i =  67 | cost = -0.2004 | cstr = 0.9728 | nder = 0.1110 | steps = 16 | lagr = -0.2110 | lm = 0.3612 | mu = 0.4155 | 
i =  68 | cost = -0.2143 | cstr = 0.9857 | nder = 0.1038 | steps = 16 | lagr = -0.2197 | lm = 0.3615 | mu = 0.3902 | 
i =  69 | cost = -0.2238 | cstr = 0.9871 | nder = 0.0957 | steps = 16 | lagr = -0.2286 | lm = 0.3510 | mu = 0.3768 | 
i =  70 | cost = -0.2330 | cstr = 0.9941 | nder = 0.0850 | steps = 16 | lagr = -0.2351 | lm = 0.3529 | mu = 0.3648 | 
i =  71 | cost = -0.2391 | cstr = 0.9892 | nder = 0.0749 | steps = 16 | lagr = -0.2428 | lm = 0.3377 | mu = 0.3593 | 
i =  72 | cost = -0.2479 | cstr = 1.0015 | nder = 0.0677 | steps = 16 | lagr = -0.2474 | lm = 0.3523 | mu = 0.3492 | 
i =  73 | cost = -0.2531 | cstr = 1.0035 | nder = 0.0692 | steps = 16 | lagr = -0.2519 | lm = 0.3577 | mu = 0.3506 | 
i =  74 | cost = -0.2585 | cstr = 1.0048 | nder = 0.1018 | steps = 16 | lagr = -0.2567 | lm = 0.3635 | mu = 0.3539 | 
i =  75 | cost = -0.2797 | cstr = 1.0054 | nder = 0.1835 | steps = 16 | lagr = -0.2778 | lm = 0.3692 | mu = 0.3584 | 
i =  76 | cost = -0.3110 | cstr = 1.0315 | nder = 0.1514 | steps = 16 | lagr = -0.2985 | lm = 0.4262 | mu = 0.3634 | 
i =  77 | cost = -0.3280 | cstr = 1.0277 | nder = 0.1496 | steps = 15 | lagr = -0.3164 | lm = 0.4477 | mu = 0.3924 | 
i =  78 | cost = -0.3460 | cstr = 1.0286 | nder = 0.1378 | steps = 16 | lagr = -0.3332 | lm = 0.4752 | mu = 0.4179 | 
i =  79 | cost = -0.3599 | cstr = 1.0323 | nder = 0.1017 | steps = 16 | lagr = -0.3445 | lm = 0.5088 | mu = 0.4443 | 
i =  80 | cost = -0.3607 | cstr = 1.0196 | nder = 0.0677 | steps = 16 | lagr = -0.3510 | lm = 0.5132 | mu = 0.4740 | 
i =  81 | cost = -0.3590 | cstr = 1.0097 | nder = 0.0459 | steps = 16 | lagr = -0.3541 | lm = 0.5115 | mu = 0.4921 | 
i =  82 | cost = -0.3572 | cstr = 1.0036 | nder = 0.0321 | steps = 16 | lagr = -0.3554 | lm = 0.5081 | mu = 0.5010 | 
i =  83 | cost = -0.3569 | cstr = 1.0015 | nder = 0.0239 | steps = 16 | lagr = -0.3561 | lm = 0.5073 | mu = 0.5043 | 
i =  84 | cost = -0.3564 | cstr = 0.9995 | nder = 0.0184 | steps = 16 | lagr = -0.3567 | lm = 0.5047 | mu = 0.5057 | 
i =  85 | cost = -0.3568 | cstr = 1.0001 | nder = 0.0137 | steps = 15 | lagr = -0.3568 | lm = 0.5054 | mu = 0.5052 | 
i =  86 | cost = -0.3570 | cstr = 0.9988 | nder = 0.0114 | steps = 16 | lagr = -0.3576 | lm = 0.5029 | mu = 0.5053 | 
i =  87 | cost = -0.3578 | cstr = 1.0022 | nder = 0.0100 | steps = 16 | lagr = -0.3567 | lm = 0.5086 | mu = 0.5042 | 
i =  88 | cost = -0.3564 | cstr = 0.9977 | nder = 0.0093 | steps = 16 | lagr = -0.3575 | lm = 0.5016 | mu = 0.5062 | 
i =  89 | cost = -0.3582 | cstr = 1.0016 | nder = 0.0081 | steps = 16 | lagr = -0.3573 | lm = 0.5073 | mu = 0.5041 | 
i =  90 | cost = -0.3569 | cstr = 1.0003 | nder = 0.0071 | steps = 16 | lagr = -0.3568 | lm = 0.5061 | mu = 0.5056 | 
i =  91 | cost = -0.3565 | cstr = 0.9972 | nder = 0.0083 | steps = 16 | lagr = -0.3580 | lm = 0.5002 | mu = 0.5058 | 
i =  92 | cost = -0.3588 | cstr = 1.0022 | nder = 0.0071 | steps = 16 | lagr = -0.3577 | lm = 0.5077 | mu = 0.5032 | 
i =  93 | cost = -0.3573 | cstr = 1.0005 | nder = 0.0065 | steps = 16 | lagr = -0.3571 | lm = 0.5062 | mu = 0.5053 | 
i =  94 | cost = -0.3567 | cstr = 0.9998 | nder = 0.0060 | steps = 15 | lagr = -0.3568 | lm = 0.5052 | mu = 0.5057 | 
i =  95 | cost = -0.3569 | cstr = 0.9994 | nder = 0.0060 | steps = 16 | lagr = -0.3572 | lm = 0.5043 | mu = 0.5055 | 
i =  96 | cost = -0.3573 | cstr = 0.9998 | nder = 0.0058 | steps = 16 | lagr = -0.3574 | lm = 0.5045 | mu = 0.5049 | 
i =  97 | cost = -0.3574 | cstr = 1.0000 | nder = 0.0057 | steps = 16 | lagr = -0.3574 | lm = 0.5048 | mu = 0.5047 | 
i =  98 | cost = -0.3574 | cstr = 1.0003 | nder = 0.0057 | steps = 16 | lagr = -0.3572 | lm = 0.5053 | mu = 0.5048 | 
i =  99 | cost = -0.3573 | cstr = 1.0000 | nder = 0.0057 | steps = 16 | lagr = -0.3573 | lm = 0.5050 | mu = 0.5050 | 
i = 100 | cost = -0.3573 | cstr = 0.9999 | nder = 0.0057 | steps = 16 | lagr = -0.3574 | lm = 0.5048 | mu = 0.5050 | 
i = 101 | cost = -0.3577 | cstr = 0.9999 | nder = 0.0057 | steps = 15 | lagr = -0.3578 | lm = 0.5048 | mu = 0.5049 | 
i = 102 | cost = -0.3577 | cstr = 1.0002 | nder = 0.0057 | steps = 15 | lagr = -0.3576 | lm = 0.5052 | mu = 0.5049 | 
i = 103 | cost = -0.3575 | cstr = 1.0003 | nder = 0.0057 | steps = 16 | lagr = -0.3574 | lm = 0.5056 | mu = 0.5050 | 
i = 104 | cost = -0.3570 | cstr = 0.9999 | nder = 0.0057 | steps = 16 | lagr = -0.3571 | lm = 0.5051 | mu = 0.5053 | 
i = 105 | cost = -0.3573 | cstr = 0.9997 | nder = 0.0057 | steps = 16 | lagr = -0.3575 | lm = 0.5045 | mu = 0.5052 | 
i = 106 | cost = -0.3574 | cstr = 0.9999 | nder = 0.0056 | steps = 16 | lagr = -0.3574 | lm = 0.5047 | mu = 0.5049 | 
i = 107 | cost = -0.3574 | cstr = 1.0002 | nder = 0.0056 | steps = 16 | lagr = -0.3573 | lm = 0.5052 | mu = 0.5048 | 
i = 108 | cost = -0.3574 | cstr = 1.0000 | nder = 0.0056 | steps = 16 | lagr = -0.3574 | lm = 0.5051 | mu = 0.5050 | 
i = 109 | cost = -0.3574 | cstr = 1.0000 | nder = 0.0056 | steps = 16 | lagr = -0.3574 | lm = 0.5051 | mu = 0.5050 | 
i = 110 | cost = -0.3574 | cstr = 0.9999 | nder = 0.0056 | steps = 16 | lagr = -0.3574 | lm = 0.5049 | mu = 0.5051 | 
i = 111 | cost = -0.3574 | cstr = 1.0000 | nder = 0.0056 | steps = 16 | lagr = -0.3574 | lm = 0.5051 | mu = 0.5050 | 
> Stopping condition reached!
> Assembly time = 5.958712222000031 s
> Resolution time = 208.10790574200018 s
