Info    : Reading '../results/t49/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t49/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t49
> Nbr of triangles = 20946
> Ersatz material = 1e-05
> Iterations:
i =   0 | cost = 2.7145 | cstr = 1.5925 | nder = 5.3771 | steps =  0 | lagr = 2.7145 | lm = 0.0000 | mu = 0.0000 | 
i =  39 | cost = 2.2973 | cstr = 0.9455 | nder = 0.5084 | steps = 16 | lagr = 2.1860 | lm = 1.9883 | mu = 2.0971 | 
i =  40 | cost = 2.2729 | cstr = 0.9558 | nder = 0.4253 | steps = 15 | lagr = 2.1844 | lm = 1.9571 | mu = 2.0454 | 
i =  41 | cost = 2.2615 | cstr = 0.9603 | nder = 0.3949 | steps = 16 | lagr = 2.1836 | lm = 1.9239 | mu = 2.0033 | 
i =  42 | cost = 2.2490 | cstr = 0.9663 | nder = 0.3908 | steps = 15 | lagr = 2.1839 | lm = 1.8981 | mu = 1.9655 | 
i =  43 | cost = 2.2392 | cstr = 0.9707 | nder = 0.3819 | steps = 16 | lagr = 2.1834 | lm = 1.8748 | mu = 1.9333 | 
i =  44 | cost = 2.2211 | cstr = 0.9806 | nder = 0.3878 | steps = 16 | lagr = 2.1844 | lm = 1.8666 | mu = 1.9054 | 
i =  45 | cost = 2.2133 | cstr = 0.9840 | nder = 0.3855 | steps = 16 | lagr = 2.1834 | lm = 1.8549 | mu = 1.8869 | 
i =  46 | cost = 2.2096 | cstr = 0.9853 | nder = 0.3943 | steps = 16 | lagr = 2.1824 | lm = 1.8423 | mu = 1.8716 | 
i =  47 | cost = 2.2005 | cstr = 0.9899 | nder = 0.3932 | steps = 16 | lagr = 2.1819 | lm = 1.8375 | mu = 1.8576 | 
i =  48 | cost = 2.1918 | cstr = 0.9961 | nder = 0.4036 | steps = 16 | lagr = 2.1846 | lm = 1.8403 | mu = 1.8480 | 
i =  49 | cost = 2.1826 | cstr = 0.9997 | nder = 0.3651 | steps = 16 | lagr = 2.1820 | lm = 1.8438 | mu = 1.8443 | 
> Stopping condition reached!
> Assembly time = 9.018218528000034 s
> Resolution time = 6.180746911999904 s
