Info    : Reading '../results/t60/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t60/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t60
> Nbr of triangles = 20946
> Value = 100.0
> Iterations:
i =   0 | cost = 2.7139 | cstr = 1.5925 | nder = 4.7132 | steps =  0 | lagr = 2.7139 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = 2.3849 | cstr = 1.6148 | nder = 3.1276 | steps = 14 | lagr = 2.7625 | lm = 1.2284 | mu = 0.0000 | 
i =   2 | cost = 2.1644 | cstr = 1.6286 | nder = 2.2479 | steps = 14 | lagr = 2.7129 | lm = 1.5005 | mu = 0.2446 | 
i =   3 | cost = 1.9999 | cstr = 1.6402 | nder = 1.6215 | steps = 14 | lagr = 2.7216 | lm = 1.7669 | mu = 0.4877 | 
i =   4 | cost = 1.8900 | cstr = 1.6454 | nder = 1.2022 | steps = 15 | lagr = 2.7770 | lm = 2.0191 | mu = 0.7296 | 
i =   5 | cost = 1.8228 | cstr = 1.6408 | nder = 1.0436 | steps = 16 | lagr = 2.8550 | lm = 2.2510 | mu = 0.9708 | 
i =   6 | cost = 1.7888 | cstr = 1.6252 | nder = 0.9572 | steps = 15 | lagr = 2.9372 | lm = 2.4613 | mu = 1.2121 | 
i =   7 | cost = 1.7770 | cstr = 1.6048 | nder = 0.9870 | steps = 16 | lagr = 3.0220 | lm = 2.6629 | mu = 1.4546 | 
i =   8 | cost = 1.7787 | cstr = 1.5763 | nder = 1.0422 | steps = 16 | lagr = 3.0893 | lm = 2.8499 | mu = 1.6985 | 
i =   9 | cost = 1.7837 | cstr = 1.5478 | nder = 1.1099 | steps = 15 | lagr = 3.1484 | lm = 3.0385 | mu = 1.9440 | 
i =  10 | cost = 1.8072 | cstr = 1.5086 | nder = 1.1815 | steps = 16 | lagr = 3.1799 | lm = 3.2070 | mu = 2.1908 | 
i =  11 | cost = 1.8328 | cstr = 1.4755 | nder = 1.2673 | steps = 16 | lagr = 3.2181 | lm = 3.3884 | mu = 2.4383 | 
i =  12 | cost = 1.8653 | cstr = 1.4352 | nder = 1.3408 | steps = 16 | lagr = 3.2230 | lm = 3.5547 | mu = 2.6852 | 
i =  13 | cost = 1.8987 | cstr = 1.3978 | nder = 1.4162 | steps = 15 | lagr = 3.2222 | lm = 3.7246 | mu = 2.9298 | 
i =  14 | cost = 1.9375 | cstr = 1.3578 | nder = 1.4802 | steps = 16 | lagr = 3.1997 | lm = 3.8851 | mu = 3.1702 | 
i =  15 | cost = 1.9766 | cstr = 1.3170 | nder = 1.5272 | steps = 15 | lagr = 3.1557 | lm = 4.0368 | mu = 3.4035 | 
i =  16 | cost = 2.0202 | cstr = 1.2773 | nder = 1.5786 | steps = 15 | lagr = 3.1025 | lm = 4.1801 | mu = 3.6261 | 
i =  17 | cost = 2.0671 | cstr = 1.2366 | nder = 1.5983 | steps = 16 | lagr = 3.0302 | lm = 4.3074 | mu = 3.8347 | 
i =  18 | cost = 2.1175 | cstr = 1.1958 | nder = 1.6026 | steps = 16 | lagr = 2.9439 | lm = 4.4159 | mu = 4.0246 | 
i =  19 | cost = 2.1662 | cstr = 1.1585 | nder = 1.6022 | steps = 15 | lagr = 2.8557 | lm = 4.5080 | mu = 4.1913 | 
i =  20 | cost = 2.2221 | cstr = 1.1187 | nder = 1.5751 | steps = 15 | lagr = 2.7504 | lm = 4.5696 | mu = 4.3325 | 
i =  21 | cost = 2.2712 | cstr = 1.0843 | nder = 1.5432 | steps = 16 | lagr = 2.6528 | lm = 4.6109 | mu = 4.4425 | 
i =  22 | cost = 2.3243 | cstr = 1.0480 | nder = 1.4779 | steps = 16 | lagr = 2.5438 | lm = 4.6186 | mu = 4.5227 | 
i =  23 | cost = 2.3821 | cstr = 1.0148 | nder = 1.4099 | steps = 15 | lagr = 2.4497 | lm = 4.5987 | mu = 4.5692 | 
