Info    : Reading '../results/t16/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t16/domain.msh'
> Iterations:
i =   0 | cost = -0.0251 | cstr = 1.0014 | nder = 0.0331 | steps =  0 | lagr = -0.0251 | lm = 0.0000 | mu = 0.0000 | 
i =  12 | cost = -0.0250 | cstr = 0.9998 | nder = 0.0186 | steps = 16 | lagr = -0.0250 | lm = 0.0553 | mu = 0.0558 | 
i =  13 | cost = -0.0250 | cstr = 0.9993 | nder = 0.0175 | steps = 16 | lagr = -0.0250 | lm = 0.0540 | mu = 0.0555 | 
i =  14 | cost = -0.0249 | cstr = 1.0000 | nder = 0.0183 | steps = 16 | lagr = -0.0249 | lm = 0.0548 | mu = 0.0548 | 
i =  15 | cost = -0.0247 | cstr = 0.9944 | nder = 0.0080 | steps = 15 | lagr = -0.0250 | lm = 0.0436 | mu = 0.0548 | 
i =  16 | cost = -0.0249 | cstr = 1.0006 | nder = 0.0142 | steps = 15 | lagr = -0.0249 | lm = 0.0505 | mu = 0.0493 | 
i =  17 | cost = -0.0248 | cstr = 0.9994 | nder = 0.0127 | steps = 16 | lagr = -0.0248 | lm = 0.0486 | mu = 0.0499 | 
i =  18 | cost = -0.0248 | cstr = 0.9964 | nder = 0.0067 | steps = 16 | lagr = -0.0249 | lm = 0.0421 | mu = 0.0493 | 
i =  19 | cost = -0.0249 | cstr = 0.9995 | nder = 0.0089 | steps = 16 | lagr = -0.0249 | lm = 0.0447 | mu = 0.0457 | 
i =  20 | cost = -0.0249 | cstr = 0.9988 | nder = 0.0073 | steps = 15 | lagr = -0.0250 | lm = 0.0429 | mu = 0.0452 | 
i =  21 | cost = -0.0251 | cstr = 0.9995 | nder = 0.0074 | steps = 16 | lagr = -0.0251 | lm = 0.0431 | mu = 0.0441 | 
i =  22 | cost = -0.0251 | cstr = 1.0039 | nder = 0.0147 | steps = 16 | lagr = -0.0250 | lm = 0.0514 | mu = 0.0436 | 
i =  23 | cost = -0.0250 | cstr = 0.9981 | nder = 0.0084 | steps = 16 | lagr = -0.0251 | lm = 0.0436 | mu = 0.0474 | 
i =  24 | cost = -0.0250 | cstr = 1.0000 | nder = 0.0102 | steps = 16 | lagr = -0.0250 | lm = 0.0455 | mu = 0.0455 | 
i =  25 | cost = -0.0250 | cstr = 0.9970 | nder = 0.0069 | steps = 16 | lagr = -0.0252 | lm = 0.0396 | mu = 0.0455 | 
i =  26 | cost = -0.0252 | cstr = 0.9986 | nder = 0.0077 | steps = 16 | lagr = -0.0253 | lm = 0.0398 | mu = 0.0426 | 
i =  27 | cost = -0.0255 | cstr = 1.0017 | nder = 0.0107 | steps = 16 | lagr = -0.0254 | lm = 0.0446 | mu = 0.0412 | 
i =  28 | cost = -0.0256 | cstr = 1.0017 | nder = 0.0125 | steps = 16 | lagr = -0.0255 | lm = 0.0462 | mu = 0.0429 | 
i =  29 | cost = -0.0257 | cstr = 1.0053 | nder = 0.0192 | steps = 16 | lagr = -0.0254 | lm = 0.0550 | mu = 0.0445 | 
i =  30 | cost = -0.0256 | cstr = 0.9903 | nder = 0.0163 | steps = 16 | lagr = -0.0260 | lm = 0.0303 | mu = 0.0496 | 
i =  31 | cost = -0.0264 | cstr = 1.0003 | nder = 0.0173 | steps = 16 | lagr = -0.0264 | lm = 0.0408 | mu = 0.0402 | 
i =  32 | cost = -0.0270 | cstr = 1.0089 | nder = 0.0246 | steps = 16 | lagr = -0.0266 | lm = 0.0584 | mu = 0.0405 | 
i =  33 | cost = -0.0273 | cstr = 0.9945 | nder = 0.0270 | steps = 15 | lagr = -0.0276 | lm = 0.0382 | mu = 0.0492 | 
i =  34 | cost = -0.0289 | cstr = 1.0075 | nder = 0.0342 | steps = 16 | lagr = -0.0285 | lm = 0.0588 | mu = 0.0438 | 
i =  35 | cost = -0.0303 | cstr = 1.0058 | nder = 0.0450 | steps = 16 | lagr = -0.0300 | lm = 0.0626 | mu = 0.0511 | 
i =  36 | cost = -0.0333 | cstr = 1.0059 | nder = 0.0657 | steps = 16 | lagr = -0.0329 | lm = 0.0684 | mu = 0.0566 | 
i =  37 | cost = -0.0404 | cstr = 1.0140 | nder = 0.1135 | steps = 16 | lagr = -0.0393 | lm = 0.0903 | mu = 0.0623 | 
i =  38 | cost = -0.0620 | cstr = 1.0337 | nder = 0.2391 | steps = 15 | lagr = -0.0583 | lm = 0.1431 | mu = 0.0758 | 
i =  39 | cost = -0.1471 | cstr = 1.0957 | nder = 0.3831 | steps = 16 | lagr = -0.1276 | lm = 0.2993 | mu = 0.1080 | 
i =  40 | cost = -0.2906 | cstr = 1.1831 | nder = 0.3115 | steps = 15 | lagr = -0.2211 | lm = 0.5626 | mu = 0.1968 | 
i =  41 | cost = -0.3375 | cstr = 1.1414 | nder = 0.2323 | steps = 16 | lagr = -0.2678 | lm = 0.6343 | mu = 0.3518 | 
i =  42 | cost = -0.3207 | cstr = 1.0488 | nder = 0.1335 | steps = 15 | lagr = -0.2950 | lm = 0.5749 | mu = 0.4773 | 
i =  43 | cost = -0.3095 | cstr = 1.0044 | nder = 0.0739 | steps = 16 | lagr = -0.3072 | lm = 0.5325 | mu = 0.5236 | 
i =  44 | cost = -0.3091 | cstr = 0.9964 | nder = 0.0428 | steps = 16 | lagr = -0.3110 | lm = 0.5208 | mu = 0.5279 | 
i =  45 | cost = -0.3117 | cstr = 0.9978 | nder = 0.0251 | steps = 16 | lagr = -0.3128 | lm = 0.5201 | mu = 0.5245 | 
i =  46 | cost = -0.3139 | cstr = 1.0002 | nder = 0.0160 | steps = 16 | lagr = -0.3138 | lm = 0.5228 | mu = 0.5224 | 
i =  47 | cost = -0.3139 | cstr = 0.9985 | nder = 0.0125 | steps = 16 | lagr = -0.3147 | lm = 0.5196 | mu = 0.5226 | 
i =  48 | cost = -0.3161 | cstr = 1.0027 | nder = 0.0114 | steps = 16 | lagr = -0.3147 | lm = 0.5265 | mu = 0.5212 | 
i =  49 | cost = -0.3133 | cstr = 0.9952 | nder = 0.0129 | steps = 16 | lagr = -0.3157 | lm = 0.5141 | mu = 0.5237 | 
i =  50 | cost = -0.3175 | cstr = 1.0059 | nder = 0.0123 | steps = 16 | lagr = -0.3144 | lm = 0.5309 | mu = 0.5191 | 
i =  51 | cost = -0.3120 | cstr = 0.9912 | nder = 0.0176 | steps = 16 | lagr = -0.3165 | lm = 0.5071 | mu = 0.5247 | 
i =  52 | cost = -0.3188 | cstr = 1.0107 | nder = 0.0183 | steps = 16 | lagr = -0.3132 | lm = 0.5376 | mu = 0.5163 | 
i =  53 | cost = -0.3104 | cstr = 0.9901 | nder = 0.0181 | steps = 16 | lagr = -0.3155 | lm = 0.5066 | mu = 0.5264 | 
i =  54 | cost = -0.3184 | cstr = 1.0085 | nder = 0.0149 | steps = 16 | lagr = -0.3139 | lm = 0.5339 | mu = 0.5170 | 
i =  55 | cost = -0.3121 | cstr = 0.9903 | nder = 0.0183 | steps = 15 | lagr = -0.3171 | lm = 0.5056 | mu = 0.5250 | 
i =  56 | cost = -0.3205 | cstr = 1.0206 | nder = 0.0368 | steps = 16 | lagr = -0.3094 | lm = 0.5570 | mu = 0.5158 | 
i =  57 | cost = -0.3014 | cstr = 0.9834 | nder = 0.0232 | steps = 16 | lagr = -0.3101 | lm = 0.5020 | mu = 0.5353 | 
i =  58 | cost = -0.3143 | cstr = 1.0001 | nder = 0.0079 | steps = 16 | lagr = -0.3143 | lm = 0.5197 | mu = 0.5196 | 
i =  59 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0080 | steps = 16 | lagr = -0.3149 | lm = 0.5198 | mu = 0.5196 | 
i =  60 | cost = -0.3154 | cstr = 1.0001 | nder = 0.0079 | steps = 16 | lagr = -0.3154 | lm = 0.5199 | mu = 0.5197 | 
i =  61 | cost = -0.3164 | cstr = 1.0001 | nder = 0.0078 | steps = 16 | lagr = -0.3164 | lm = 0.5200 | mu = 0.5198 | 
i =  62 | cost = -0.3168 | cstr = 1.0001 | nder = 0.0074 | steps = 16 | lagr = -0.3168 | lm = 0.5201 | mu = 0.5199 | 
i =  63 | cost = -0.3169 | cstr = 1.0001 | nder = 0.0073 | steps = 16 | lagr = -0.3168 | lm = 0.5201 | mu = 0.5200 | 
i =  64 | cost = -0.3169 | cstr = 1.0001 | nder = 0.0073 | steps = 15 | lagr = -0.3168 | lm = 0.5202 | mu = 0.5200 | 
i =  65 | cost = -0.3171 | cstr = 1.0038 | nder = 0.0100 | steps = 16 | lagr = -0.3151 | lm = 0.5277 | mu = 0.5201 | 
i =  66 | cost = -0.3149 | cstr = 1.0001 | nder = 0.0080 | steps = 16 | lagr = -0.3149 | lm = 0.5238 | mu = 0.5237 | 
i =  67 | cost = -0.3142 | cstr = 1.0000 | nder = 0.0087 | steps = 16 | lagr = -0.3143 | lm = 0.5237 | mu = 0.5237 | 
i =  68 | cost = -0.3116 | cstr = 0.9913 | nder = 0.0178 | steps = 16 | lagr = -0.3161 | lm = 0.5062 | mu = 0.5237 | 
i =  69 | cost = -0.3205 | cstr = 1.0202 | nder = 0.0358 | steps = 16 | lagr = -0.3096 | lm = 0.5559 | mu = 0.5155 | 
i =  70 | cost = -0.3008 | cstr = 0.9794 | nder = 0.0317 | steps = 16 | lagr = -0.3113 | lm = 0.4932 | mu = 0.5344 | 
i =  71 | cost = -0.3169 | cstr = 1.0001 | nder = 0.0092 | steps = 16 | lagr = -0.3168 | lm = 0.5154 | mu = 0.5152 | 
i =  72 | cost = -0.3204 | cstr = 1.0203 | nder = 0.0358 | steps = 16 | lagr = -0.3095 | lm = 0.5559 | mu = 0.5153 | 
i =  73 | cost = -0.3013 | cstr = 0.9794 | nder = 0.0318 | steps = 16 | lagr = -0.3118 | lm = 0.4930 | mu = 0.5342 | 
i =  74 | cost = -0.3180 | cstr = 1.0085 | nder = 0.0133 | steps = 16 | lagr = -0.3135 | lm = 0.5321 | mu = 0.5151 | 
i =  75 | cost = -0.3132 | cstr = 1.0001 | nder = 0.0073 | steps = 16 | lagr = -0.3132 | lm = 0.5232 | mu = 0.5230 | 
i =  76 | cost = -0.3132 | cstr = 1.0001 | nder = 0.0074 | steps = 16 | lagr = -0.3131 | lm = 0.5233 | mu = 0.5231 | 
i =  77 | cost = -0.3116 | cstr = 0.9927 | nder = 0.0157 | steps = 15 | lagr = -0.3153 | lm = 0.5086 | mu = 0.5232 | 
i =  78 | cost = -0.3183 | cstr = 1.0077 | nder = 0.0130 | steps = 16 | lagr = -0.3142 | lm = 0.5318 | mu = 0.5164 | 
i =  79 | cost = -0.3132 | cstr = 1.0001 | nder = 0.0074 | steps = 16 | lagr = -0.3132 | lm = 0.5237 | mu = 0.5235 | 
i =  80 | cost = -0.3132 | cstr = 1.0001 | nder = 0.0075 | steps = 16 | lagr = -0.3131 | lm = 0.5238 | mu = 0.5236 | 
i =  81 | cost = -0.3113 | cstr = 0.9904 | nder = 0.0193 | steps = 16 | lagr = -0.3162 | lm = 0.5045 | mu = 0.5237 | 
i =  82 | cost = -0.3204 | cstr = 1.0203 | nder = 0.0353 | steps = 16 | lagr = -0.3096 | lm = 0.5555 | mu = 0.5148 | 
i =  83 | cost = -0.3024 | cstr = 0.9794 | nder = 0.0324 | steps = 16 | lagr = -0.3130 | lm = 0.4924 | mu = 0.5335 | 
i =  84 | cost = -0.3185 | cstr = 1.0105 | nder = 0.0162 | steps = 16 | lagr = -0.3130 | lm = 0.5356 | mu = 0.5146 | 
i =  85 | cost = -0.3120 | cstr = 0.9989 | nder = 0.0081 | steps = 15 | lagr = -0.3126 | lm = 0.5220 | mu = 0.5243 | 
i =  86 | cost = -0.3125 | cstr = 0.9970 | nder = 0.0094 | steps = 16 | lagr = -0.3141 | lm = 0.5173 | mu = 0.5232 | 
i =  87 | cost = -0.3132 | cstr = 1.0001 | nder = 0.0074 | steps = 16 | lagr = -0.3132 | lm = 0.5206 | mu = 0.5205 | 
i =  88 | cost = -0.3133 | cstr = 1.0001 | nder = 0.0074 | steps = 16 | lagr = -0.3132 | lm = 0.5207 | mu = 0.5206 | 
i =  89 | cost = -0.3140 | cstr = 1.0001 | nder = 0.0078 | steps = 16 | lagr = -0.3139 | lm = 0.5208 | mu = 0.5206 | 
i =  90 | cost = -0.3144 | cstr = 1.0001 | nder = 0.0079 | steps = 16 | lagr = -0.3143 | lm = 0.5209 | mu = 0.5207 | 
i =  91 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3150 | lm = 0.5210 | mu = 0.5208 | 
i =  92 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3149 | lm = 0.5210 | mu = 0.5209 | 
i =  93 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3149 | lm = 0.5211 | mu = 0.5209 | 
i =  94 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 15 | lagr = -0.3149 | lm = 0.5212 | mu = 0.5210 | 
i =  95 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3150 | lm = 0.5213 | mu = 0.5211 | 
i =  96 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3149 | lm = 0.5214 | mu = 0.5212 | 
i =  97 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3150 | lm = 0.5214 | mu = 0.5213 | 
i =  98 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3149 | lm = 0.5215 | mu = 0.5213 | 
i =  99 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3149 | lm = 0.5216 | mu = 0.5214 | 
i = 100 | cost = -0.3150 | cstr = 1.0001 | nder = 0.0077 | steps = 16 | lagr = -0.3149 | lm = 0.5217 | mu = 0.5215 | 
> Stopping condition reached!
> Assembly time = 6.188582064000002 s
> Resolution time = 42.502800190000016 s
