Info    : Reading '../results/t59/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t59/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t59
> Nbr of triangles = 20946
> Value = 10.0
> Iterations:
i =   0 | cost = 2.7139 | cstr = 1.5925 | nder = 5.2452 | steps =  0 | lagr = 2.7139 | lm = 0.0000 | mu = 0.0000 | 
i =   1 | cost = 2.3510 | cstr = 1.6176 | nder = 3.2724 | steps = 14 | lagr = 2.7320 | lm = 1.2339 | mu = 0.0000 | 
i =   2 | cost = 2.1144 | cstr = 1.6324 | nder = 2.2207 | steps = 14 | lagr = 2.6686 | lm = 1.5080 | mu = 0.2443 | 
i =   3 | cost = 1.9609 | cstr = 1.6421 | nder = 1.5755 | steps = 14 | lagr = 2.6855 | lm = 1.7700 | mu = 0.4872 | 
i =   4 | cost = 1.8585 | cstr = 1.6423 | nder = 1.1820 | steps = 15 | lagr = 2.7389 | lm = 2.0123 | mu = 0.7289 | 
i =   5 | cost = 1.7948 | cstr = 1.6340 | nder = 1.0305 | steps = 16 | lagr = 2.8115 | lm = 2.2370 | mu = 0.9703 | 
i =   6 | cost = 1.7742 | cstr = 1.6124 | nder = 1.0079 | steps = 15 | lagr = 2.8913 | lm = 2.4359 | mu = 1.2123 | 
i =   7 | cost = 1.7723 | cstr = 1.5826 | nder = 1.0591 | steps = 16 | lagr = 2.9596 | lm = 2.6199 | mu = 1.4558 | 
i =   8 | cost = 1.7786 | cstr = 1.5474 | nder = 1.1180 | steps = 16 | lagr = 3.0091 | lm = 2.7949 | mu = 1.7012 | 
i =   9 | cost = 1.7981 | cstr = 1.5107 | nder = 1.1958 | steps = 15 | lagr = 3.0537 | lm = 2.9687 | mu = 1.9482 | 
i =  10 | cost = 1.8378 | cstr = 1.4623 | nder = 1.2745 | steps = 16 | lagr = 3.0665 | lm = 3.1196 | mu = 2.1959 | 
i =  11 | cost = 1.8767 | cstr = 1.4177 | nder = 1.3490 | steps = 16 | lagr = 3.0715 | lm = 3.2773 | mu = 2.4427 | 
i =  12 | cost = 1.9160 | cstr = 1.3722 | nder = 1.4214 | steps = 16 | lagr = 3.0540 | lm = 3.4295 | mu = 2.6860 | 
i =  13 | cost = 1.9671 | cstr = 1.3251 | nder = 1.4823 | steps = 15 | lagr = 3.0227 | lm = 3.5720 | mu = 2.9225 | 
i =  14 | cost = 2.0160 | cstr = 1.2783 | nder = 1.5216 | steps = 16 | lagr = 2.9693 | lm = 3.7039 | mu = 3.1480 | 
i =  15 | cost = 2.0683 | cstr = 1.2311 | nder = 1.5439 | steps = 15 | lagr = 2.8977 | lm = 3.8191 | mu = 3.3573 | 
i =  16 | cost = 2.1358 | cstr = 1.1802 | nder = 1.5373 | steps = 15 | lagr = 2.8072 | lm = 3.9049 | mu = 3.5448 | 
i =  17 | cost = 2.1952 | cstr = 1.1360 | nder = 1.5151 | steps = 16 | lagr = 2.7170 | lm = 3.9734 | mu = 3.7017 | 
i =  18 | cost = 2.2598 | cstr = 1.0893 | nder = 1.4636 | steps = 16 | lagr = 2.6093 | lm = 4.0044 | mu = 3.8261 | 
i =  19 | cost = 2.3246 | cstr = 1.0465 | nder = 1.3862 | steps = 15 | lagr = 2.5084 | lm = 4.0038 | mu = 3.9109 | 
i =  20 | cost = 2.3825 | cstr = 1.0061 | nder = 1.2941 | steps = 15 | lagr = 2.4068 | lm = 3.9684 | mu = 3.9561 | 
i =  21 | cost = 2.4456 | cstr = 0.9674 | nder = 1.1882 | steps = 16 | lagr = 2.3177 | lm = 3.8970 | mu = 3.9621 | 
