Info    : Reading '../results/t56/domain.msh'...
Info    : 13 entities
Info    : 10675 nodes
Info    : 21020 elements
Info    : Done reading '../results/t56/domain.msh'

	Symmetric Cantilever 2D with several Ersatz material

> Path = ../results/t56
> Nbr of triangles = 20946
> Value = 0.01
> Iterations:
i =   0 | cost = 2.7139 | cstr = 1.5925 | nder = 5.3750 | steps =  0 | lagr = 2.7139 | lm = 0.0000 | mu = 0.0000 | 
i =  39 | cost = 2.3014 | cstr = 0.9452 | nder = 0.6375 | steps = 16 | lagr = 2.1886 | lm = 2.0031 | mu = 2.1126 | 
i =  40 | cost = 2.2822 | cstr = 0.9534 | nder = 0.5612 | steps = 15 | lagr = 2.1883 | lm = 1.9675 | mu = 2.0605 | 
i =  41 | cost = 2.2654 | cstr = 0.9595 | nder = 0.4728 | steps = 16 | lagr = 2.1853 | lm = 1.9352 | mu = 2.0162 | 
i =  42 | cost = 2.2540 | cstr = 0.9641 | nder = 0.4260 | steps = 15 | lagr = 2.1843 | lm = 1.9059 | mu = 1.9776 | 
i =  43 | cost = 2.2410 | cstr = 0.9701 | nder = 0.4020 | steps = 16 | lagr = 2.1837 | lm = 1.8836 | mu = 1.9434 | 
i =  44 | cost = 2.2263 | cstr = 0.9780 | nder = 0.3970 | steps = 16 | lagr = 2.1847 | lm = 1.8710 | mu = 1.9149 | 
i =  45 | cost = 2.2125 | cstr = 0.9836 | nder = 0.3648 | steps = 16 | lagr = 2.1817 | lm = 1.8611 | mu = 1.8939 | 
i =  46 | cost = 2.2102 | cstr = 0.9853 | nder = 0.3736 | steps = 16 | lagr = 2.1828 | lm = 1.8489 | mu = 1.8783 | 
i =  47 | cost = 2.2017 | cstr = 0.9888 | nder = 0.3544 | steps = 16 | lagr = 2.1809 | lm = 1.8419 | mu = 1.8642 | 
i =  48 | cost = 2.1918 | cstr = 0.9953 | nder = 0.3747 | steps = 16 | lagr = 2.1831 | lm = 1.8441 | mu = 1.8536 | 
i =  49 | cost = 2.1841 | cstr = 0.9983 | nder = 0.3521 | steps = 16 | lagr = 2.1809 | lm = 1.8457 | mu = 1.8491 | 
i =  50 | cost = 2.1858 | cstr = 0.9973 | nder = 0.3561 | steps = 16 | lagr = 2.1808 | lm = 1.8420 | mu = 1.8475 | 
i =  51 | cost = 2.1806 | cstr = 1.0004 | nder = 0.3652 | steps = 16 | lagr = 2.1814 | lm = 1.8457 | mu = 1.8449 | 
> Stopping condition reached!
> Assembly time = 8.081679656999995 s
> Resolution time = 6.165956820000019 s
