Info    : Reading '../results/t70/domain.msh'...
Info    : 15 entities
Info    : 21117 nodes
Info    : 41637 elements
Info    : Done reading '../results/t70/domain.msh'

	L-Bracket - Linear

> Path = ../results/t70
> Nbr of triangles = 41563
> Iterations:
i =   0 | cost = 3.435557 | nder = 3.1148 | steps =  0 | 
i =  87 | cost = 2.252345 | nder = 1.2697 | steps = 18 | 
i =  88 | cost = 2.245074 | nder = 1.2596 | steps = 15 | 
i =  89 | cost = 2.237333 | nder = 1.2488 | steps = 16 | 
i =  90 | cost = 2.228067 | nder = 1.2331 | steps = 18 | 
i =  91 | cost = 2.220852 | nder = 1.2255 | steps = 16 | 
i =  92 | cost = 2.215249 | nder = 1.2165 | steps = 17 | 
i =  93 | cost = 2.208171 | nder = 1.2063 | steps = 16 | 
i =  94 | cost = 2.200011 | nder = 1.1940 | steps = 18 | 
i =  95 | cost = 2.193140 | nder = 1.1786 | steps = 19 | 
i =  96 | cost = 2.188602 | nder = 1.1766 | steps = 19 | 
i =  97 | cost = 2.181931 | nder = 1.1629 | steps = 16 | 
i =  98 | cost = 2.174872 | nder = 1.1528 | steps = 17 | 
i =  99 | cost = 2.169779 | nder = 1.1431 | steps = 19 | 
i = 100 | cost = 2.165240 | nder = 1.1384 | steps = 17 | 
i = 101 | cost = 2.158980 | nder = 1.1211 | steps = 17 | 
i = 102 | cost = 2.153621 | nder = 1.1149 | steps = 18 | 
i = 103 | cost = 2.147114 | nder = 1.1007 | steps = 19 | 
i = 104 | cost = 2.140947 | nder = 1.0817 | steps = 16 | 
i = 105 | cost = 2.135297 | nder = 1.0717 | steps = 16 | 
i = 106 | cost = 2.129845 | nder = 1.0572 | steps = 18 | 
i = 107 | cost = 2.125281 | nder = 1.0502 | steps = 18 | 
i = 108 | cost = 2.121376 | nder = 1.0521 | steps = 17 | 
i = 109 | cost = 2.116283 | nder = 1.0545 | steps = 16 | 
i = 110 | cost = 2.110557 | nder = 1.0452 | steps = 17 | 
i = 111 | cost = 2.105339 | nder = 1.0258 | steps = 16 | 
i = 112 | cost = 2.102833 | nder = 1.1088 | steps = 16 | 
i = 113 | cost = 2.098673 | nder = 1.1685 | steps = 17 | 
i = 114 | cost = 2.099174 | nder = 1.0292 | steps = 20 | 
i = 115 | cost = 2.096040 | nder = 1.0450 | steps = 17 | 
i = 116 | cost = 2.093311 | nder = 1.0619 | steps = 16 | 
i = 117 | cost = 2.090773 | nder = 1.0137 | steps = 16 | 
i = 118 | cost = 2.087790 | nder = 1.0102 | steps = 17 | 
i = 119 | cost = 2.083679 | nder = 0.9965 | steps = 19 | 
i = 120 | cost = 2.081681 | nder = 1.0277 | steps = 18 | 
i = 121 | cost = 2.078800 | nder = 0.9912 | steps = 18 | 
i = 122 | cost = 2.075537 | nder = 0.9885 | steps = 18 | 
i = 123 | cost = 2.071330 | nder = 0.9713 | steps = 16 | 
i = 124 | cost = 2.069369 | nder = 0.9656 | steps = 16 | 
i = 125 | cost = 2.066804 | nder = 0.9625 | steps = 18 | 
i = 126 | cost = 2.063760 | nder = 0.9551 | steps = 16 | 
i = 127 | cost = 2.062661 | nder = 1.0394 | steps = 18 | 
i = 128 | cost = 2.062730 | nder = 0.9871 | steps = 17 | 
i = 129 | cost = 2.059874 | nder = 0.9700 | steps = 16 | 
i = 130 | cost = 2.056909 | nder = 0.9593 | steps = 16 | 
i = 131 | cost = 2.055067 | nder = 0.9493 | steps = 18 | 
i = 132 | cost = 2.052884 | nder = 0.9504 | steps = 14 | 
i = 133 | cost = 2.051069 | nder = 0.9599 | steps = 20 | 
i = 134 | cost = 2.048259 | nder = 0.9307 | steps = 18 | 
i = 135 | cost = 2.046304 | nder = 0.9228 | steps = 18 | 
i = 136 | cost = 2.045401 | nder = 0.9269 | steps = 18 | 
i = 137 | cost = 2.042103 | nder = 0.9074 | steps = 16 | 
i = 138 | cost = 2.041311 | nder = 0.9143 | steps = 15 | 
i = 139 | cost = 2.040759 | nder = 0.9284 | steps = 20 | 
i = 140 | cost = 2.039310 | nder = 0.9168 | steps = 18 | 
i = 141 | cost = 2.037289 | nder = 0.8998 | steps = 17 | 
i = 142 | cost = 2.036358 | nder = 0.9165 | steps = 18 | 
i = 143 | cost = 2.034941 | nder = 0.8974 | steps = 19 | 
i = 144 | cost = 2.033403 | nder = 0.8867 | steps = 18 | 
i = 145 | cost = 2.032771 | nder = 0.8954 | steps = 16 | 
i = 146 | cost = 2.030438 | nder = 0.8923 | steps = 18 | 
i = 147 | cost = 2.029880 | nder = 0.8866 | steps = 18 | 
i = 148 | cost = 2.029000 | nder = 1.0137 | steps = 17 | 
i = 149 | cost = 2.030756 | nder = 0.9298 | steps = 19 | 
i = 150 | cost = 2.028643 | nder = 0.9017 | steps = 18 | 
i = 151 | cost = 2.027812 | nder = 0.8857 | steps = 19 | 
i = 152 | cost = 2.025909 | nder = 0.8732 | steps = 17 | 
i = 153 | cost = 2.024107 | nder = 0.8618 | steps = 17 | 
i = 154 | cost = 2.023716 | nder = 0.8695 | steps = 17 | 
i = 155 | cost = 2.022584 | nder = 0.8580 | steps = 17 | 
i = 156 | cost = 2.022172 | nder = 0.8667 | steps = 18 | 
i = 157 | cost = 2.021829 | nder = 0.8636 | steps = 17 | 
i = 158 | cost = 2.020835 | nder = 0.8613 | steps = 18 | 
i = 159 | cost = 2.020956 | nder = 0.8700 | steps = 17 | 
i = 160 | cost = 2.019754 | nder = 0.8534 | steps = 17 | 
i = 161 | cost = 2.019628 | nder = 0.8663 | steps = 17 | 
i = 162 | cost = 2.019130 | nder = 0.8521 | steps = 21 | 
i = 163 | cost = 2.018296 | nder = 0.8469 | steps = 18 | 
i = 164 | cost = 2.017999 | nder = 0.8484 | steps = 19 | 
i = 165 | cost = 2.017880 | nder = 0.8752 | steps = 17 | 
i = 166 | cost = 2.016335 | nder = 0.8603 | steps = 17 | 
i = 167 | cost = 2.016705 | nder = 0.8669 | steps = 16 | 
i = 168 | cost = 2.015569 | nder = 0.8581 | steps = 16 | 
i = 169 | cost = 2.015805 | nder = 0.8577 | steps = 17 | 
i = 170 | cost = 2.014974 | nder = 0.8290 | steps = 17 | 
i = 171 | cost = 2.014568 | nder = 0.8322 | steps = 21 | 
i = 172 | cost = 2.014408 | nder = 0.8305 | steps = 16 | 
i = 173 | cost = 2.014154 | nder = 0.8465 | steps = 17 | 
i = 174 | cost = 2.013162 | nder = 0.8356 | steps = 17 | 
i = 175 | cost = 2.012869 | nder = 0.8424 | steps = 18 | 
i = 176 | cost = 2.012984 | nder = 0.8576 | steps = 16 | 
i = 177 | cost = 2.012539 | nder = 0.8514 | steps = 17 | 
i = 178 | cost = 2.012111 | nder = 0.8504 | steps = 17 | 
i = 179 | cost = 2.012111 | nder = 0.8548 | steps = 18 | 
i = 180 | cost = 2.011021 | nder = 0.8435 | steps = 18 | 
i = 181 | cost = 2.011705 | nder = 0.8677 | steps = 19 | 
i = 182 | cost = 2.010727 | nder = 0.8332 | steps = 18 | 
i = 183 | cost = 2.011367 | nder = 0.8386 | steps = 17 | 
> Stopping condition reached!
> Assembly time = 4.664050089 s
> Resolution time = 139.49787724500004 s
